,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_sigmoid,Costs_sigmoid,Utility_sigmoid,Incomes_sigmoid_INF_0.01,Costs_sigmoid_INF_0.01,Utility_sigmoid_INF_0.01,Incomes_sigmoid_INF_0.01_DIS_0.0346,Costs_sigmoid_INF_0.01_DIS_0.0346,Utility_sigmoid_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_sigmoid_INF_0.01,FNeto-Presente_EPMAPS-FONAG_sigmoid_INF_0.01_DIS_0.0346
0,11488563.879999999,11488563.879999999,11488563.879999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11488563.879999999,-11488563.879999999
2021,263277.992,265910.77192,257017.95082157358,87937.27920791607,34326.64569216585,53610.63351575023,88816.65199999523,34669.912149087504,54146.73985090773,85846.36767832519,33510.450559721154,52335.91711860403,-211764.0320690923,-204682.03370296955
2022,263277.992,268569.87963920005,250906.75655305368,291822.629159424,114503.06394905686,177319.56521036712,297688.2640055284,116804.57553443291,180883.6884710955,278110.10261418147,109122.65082470221,168987.45178947924,-87686.19116810456,-81919.30476357444
2023,263277.992,271255.57843559206,244940.87001602963,549658.5327061596,217457.96870387276,332200.56400228693,566313.7359056891,224047.16261356883,342266.5732921203,511375.2129072035,202312.1782478694,309063.03465933417,71010.99485652824,64122.16464330454
2024,263277.992,273968.13421994797,239116.83618421605,898580.3445473082,356025.3591269026,542554.9854204056,935066.3098431105,370481.4163691449,564584.8934739657,816117.167307608,323352.7300518694,492764.43725573865,290616.7592540177,253647.6010715226
2025,263277.992,276707.8155621475,233431.2821825423,927062.5178157171,368474.55475798465,558587.9630577326,974352.0232953292,387270.46025676467,587081.5630385645,821965.3703416988,326702.15658890974,495263.21375278896,310373.74747641705,261831.93157024667
2026,263277.992,279474.89371776895,227880.9153338176,1044711.9110404683,415503.6987815473,629208.212258921,1108982.7451423365,441065.5489058607,667917.1962364758,904252.9713157478,359640.2512934914,544612.7200222565,388442.3025187069,316731.8046884389
2027,263277.992,282269.6426549466,222462.52125184203,1004728.9177628064,398910.02473522566,605818.8930275808,1077205.3920177217,427685.53982851724,649519.8521892044,848967.764157623,337067.78595923417,511899.9781983889,367250.2095342578,289437.45694654685
2028,263277.992,285092.3390814961,217172.9619798574,1460493.7218509226,577066.3965328367,883427.3253180858,1581505.4202339838,624880.217078215,956625.2031557688,1204733.2369784664,476010.993710705,728722.2432677614,671532.8640742727,511549.281287904
2029,263277.992,287943.26247231103,212009.17417326116,932419.158270451,372217.474478815,560201.683791636,1019773.1013691404,407088.7700732469,612684.3312958935,750846.7161518217,299734.58388086787,451112.1322709538,324741.0688235825,239102.95809769264
2030,263277.992,290822.69509703416,206968.1673255304,1265566.3477068245,500113.65772123577,765452.689985589,1397972.588852808,552436.6115392031,845535.9773136051,994887.3645836164,393149.4858599185,601737.8787236979,554713.282216571,394769.7113981674
2031,263277.992,293730.92204800446,202047.02203632874,1089485.6212171563,424940.28455565823,664545.3366614981,1215504.62173898,474092.4247017004,741412.1970372797,836102.2645536056,326111.2650758172,509990.9994777884,447681.27498927526,307943.97744145966
2032,263277.992,296668.23126848455,197242.88832079264,905571.079134839,360771.8921813887,544799.1869534503,1020420.1585327553,406526.79827806103,613893.3602546942,678436.7119767941,270283.47298704204,408153.23898975196,317225.1289862097,210910.35066895932
2033,263277.992,299634.9135811694,192552.98395901851,997651.4532728127,399620.9948076251,598030.4584651876,1135420.4151842939,454805.96891062456,680614.4462736694,729649.9142196868,292269.8339437337,437380.0802759531,380979.5326925,244827.0963169346
2034,263277.992,302631.2627169811,187974.59288479484,1091650.5845309165,432802.54016741837,658848.0443634982,1254824.196784066,497495.3593461878,757328.8374378784,779414.0810662493,309011.32551738515,470402.7555488642,454697.57472089725,282428.1626640693
2035,263277.992,305657.5753441509,183505.06361264523,918518.4287748613,362694.0515287228,555824.3772461384,1066371.3807428433,421076.5341222138,645294.8466206293,640208.4026139103,252798.1715908343,387410.23102307593,339637.2712764784,203905.1674104307
2036,263277.992,308714.15109759243,179141.80770227307,965377.6674921482,381623.8097016214,583753.8577905268,1131981.2371875443,447483.92965054675,684497.3075369975,656870.3261378085,259667.65627784305,397202.6698599654,375783.15643940505,218060.86215769232
2037,263277.992,311801.2926085683,174882.2982595165,1307296.8647332857,514251.36018022266,793045.5045530632,1548237.4700235755,609030.1647009973,939207.3053225783,868371.4064942325,341591.2551908241,526780.1513034084,627406.01271401,351897.85304389196
2038,263277.992,314919.305534654,170724.0684729477,903413.2172457497,357924.1227853209,545489.0944604287,1080615.4393104722,428130.03595702554,652485.4033534465,585823.2919082326,232097.87488245833,353725.41702577425,337566.0978187925,183001.34855282656
2039,263277.992,318068.49859000056,166664.71018526694,1148650.7294300108,455866.6282540912,692784.1011759193,1387695.2271578873,550736.5538022817,836958.6733556052,727138.4116472151,288580.44268699427,438557.9689602207,518890.17476560466,271893.2587749538
2040,263277.992,321249.18357590056,162701.8724986658,1076386.5749821796,428625.8630834823,647760.7118986971,1313396.177926961,523005.00899856613,790391.1689283948,665190.8499895659,264884.3908116684,400306.45917789737,469141.98535249423,237604.58667923158
2041,263277.992,324461.6754116596,158833.26041335054,1148438.8084992093,456316.42332199856,692122.3851772107,1415326.7315766504,562360.6823502048,852966.0492264456,692842.8728640293,275291.6213991472,417551.251464882,528504.3738147861,258717.99105153146
2042,263277.992,327706.2921657762,155056.63349843808,1005800.1706046638,400437.2683361928,605362.9022684711,1251935.4240918073,498430.61873339454,753504.8053584128,592362.4198186449,235836.0996445185,356526.3201741264,425798.5131926366,201469.68667568834
2043,263277.992,330983.35508743394,151369.80459445433,1072283.8471619687,426626.00522201473,645657.8419399539,1348035.5978244075,536338.4364308412,811697.1613935662,616501.9536258728,245285.58029023942,371216.37333563337,480713.80630613223,219846.56874117904
2044,263277.992,334293.1886383083,147770.63854668365,1015696.639430989,403389.50963429327,612307.1297966957,1289665.215482954,512197.6372369608,777467.5782459929,570082.3674560612,226411.34934549753,343671.0181105636,443174.38960768457,195900.37956387992
2045,263277.992,337636.12052469136,144257.05096863568,1459752.218536505,576668.6906421845,883083.5278943205,1872032.9498486032,739538.3794042326,1132494.5704443706,799837.2693111378,315972.1937486746,483865.0755624633,794858.4499196792,339608.02459382766
2046,263277.992,341012.4817299383,140827.00703491404,933145.3969890232,372510.9014612085,560634.495527815,1208662.4682327996,482497.0975118315,726165.3707209685,499138.0874189089,199255.52812883718,299882.5592900719,385152.88899103017,159055.55225515785
2047,263277.992,344422.6065472377,137478.52030278675,1265825.338101457,500217.77637467737,765607.5617267797,1655963.9454498813,654389.3360453373,1001574.6094045439,660988.7637093612,261203.7535030308,399785.0102063303,657152.0028573062,262306.4899035435
2048,263277.992,347866.8326127101,134209.65156177717,1093485.8659297244,426624.14910620113,666861.7168235235,1444812.997083857,563694.6344746761,881118.3626091811,557419.7673695281,217477.6477305513,339942.1196389768,533251.529996471,205732.46807719965
2049,263277.992,351345.5009388372,131018.50771060791,902694.6220353327,359554.6154416429,543140.0065936899,1204649.4724625454,479827.0281445134,724822.444318032,449219.85844324017,178929.91661690257,270289.9418263376,373476.9433791948,139271.4341157297
2050,263277.992,354858.9559482256,127903.24066084862,997657.5113212704,399623.4688177877,598034.0425034829,1344691.5945081008,538632.0589876286,806059.5355204724,484672.59947663127,194141.3192862874,290531.28019034397,451200.5795722469,162628.03952949535
2051,263277.992,358407.5455077078,124862.04626663166,1091652.631613627,432803.3650383045,658849.2665753227,1486096.6435951472,589187.0815805036,896909.5620146437,517726.4546883619,205261.03750353216,312465.41718482977,538502.0165069359,187603.3709181981
2052,263277.992,361991.62096278486,121893.16327981632,921934.2386655008,364109.41448984615,557824.8241756543,1267604.8876717943,500628.84541822964,766976.0422535642,426839.62997904903,168576.37045533655,258263.25952371233,404984.42129077937,136370.096243896
2053,263277.992,365611.53717241273,118994.87232999661,961719.6866977261,380092.5377597315,581627.1489379946,1335530.5937707347,527830.7386896918,807699.8550810431,434672.53174674866,171792.03875234534,262880.49299440335,442088.31790863036,143885.62066440674
2054,263277.992,369267.65254413686,116165.49492876143,1307296.9319826756,514251.3871380798,793045.5448445958,1833584.5908889896,721277.16070565,1112307.4301833399,576815.3804614965,226901.86312533534,349913.51733616134,743039.777639203,233748.0224073999
