years,BAU_yearly_losses,NBS_yearly_benefits,GROSS_yearly_benefits,NBS_yearly_investments,NET_yearly_cashflow,BAU_cumul_losses,NBS_cumul_benefits,GROSS_cumul_benefits,NBS_cumul_investments,NET_cumul_cashflow,ROI
2015,0,0,0,0,0,0,0,0,0,0,-1
2016,0,0,0,1.60970955,-1.60970955,0,0,0,1.60970955,-1.60970955,-1
2017,0,0,0,1.95686969,-1.95686969,0,0,0,3.56657924,-3.56657924,-1
2018,0,0,0,2.56695809,-2.56695809,0,0,0,6.13353733,-6.13353733,-1
2019,0,0,0,2.53120622,-2.53120622,0,0,0,8.66474355,-8.66474355,-1
2020,0,0,0,2.38617622,-2.38617622,0,0,0,11.05091977,-11.05091977,-1
2021,-0.039528449450627,0.132586152520495,0.172114601971122,0.90619214923642,-0.734077547265298,-0.039528449450627,0.132586152520495,0.172114601971122,11.9571119192364,-11.7849973172653,-0.985605671073947
2022,-0.0603233159294978,0.39406756913131,0.454390885060807,0.884645341899076,-0.430254456838269,-0.0998517653801248,0.526653721651804,0.626505487031929,12.8417572611355,-12.2152517741036,-0.951213414621378
2023,-0.157670597870702,0.752441229477658,0.91011182734836,0.863610859576713,0.0465009677716478,-0.257522363250827,1.27909495112946,1.53661731438029,13.7053681207122,-12.1687508063319,-0.887882083804952
2024,-0.221853194342752,0.851810414396503,1.07366360873926,0.843076520561067,0.230587088178188,-0.479375557593579,2.13090536552597,2.61028092311955,14.5484446412733,-11.9381637181537,-0.820580069726884
2025,-0.25082943802478,1.0889436157755,1.33977305380028,0.823030432792072,0.516742621008213,-0.730204995618359,3.21984898130147,3.95005397691983,15.3714750740653,-11.4214210971455,-0.743027005678568
2026,-0.280144984268447,1.76869217271767,2.04883715698612,0.803460986970803,1.24537617001531,-1.01034997988681,4.98854115401914,5.99889113390595,16.1749360610361,-10.1760449271302,-0.629124275281886
2027,-0.338434411279039,2.25241262483271,2.59084703611175,0.784356849836179,1.80649018627557,-1.34878439116584,7.24095377885185,8.5897381700177,16.9592929108723,-8.36955474085463,-0.493508472602006
2028,-0.275191049420039,2.96263586217213,3.23782691159216,0.765706957601528,2.47211995399064,-1.62397544058588,10.203589641024,11.8275650816099,17.7249998684739,-5.89743478686399,-0.332718467172083
2029,-0.72619847665194,2.6082815117664,3.33447998841834,0.74750050954721,2.58697947887113,-2.35017391723782,12.8118711527904,15.1620450700282,18.4725003780211,-3.31045530799286,-0.179209919623643
2030,-0.263954580513893,1.7562495994641,2.02020417997799,0.729726961765592,1.2904772182124,-2.61412849775172,14.5681207522545,17.1822492500062,19.2022273397867,-2.01997808978046,-0.105194988791488
2031,-0.636679064698594,2.82206513358468,3.45874419828327,0.712376021054754,2.74636817722852,-3.25080756245031,17.3901858858392,20.6409934482895,19.9146033608414,0.72639008744806,0.0364752475500656
2032,-0.695276672844025,2.3698832931772,3.06515996602123,0.695437638957376,2.36972232706385,-3.94608423529434,19.7600691790164,23.7061534143107,20.6100409997988,3.09611241451191,0.150223496136768
2033,-0.546059214296417,1.66891852134957,2.21497773564599,0.678902005941379,1.53607572970461,-4.49214344959075,21.4289877003659,25.9211311499567,21.2889430057402,4.63218814421652,0.217586572662041
2034,-0.480051078057385,1.5953963670074,2.07544744506478,0.662759545718918,1.41268789934586,-4.97219452764814,23.0243840673733,27.9965785950215,21.9517025514591,6.04487604356239,0.275371626842702
2035,-0.674269154648776,1.40482715527836,2.07909630992714,0.647000909700471,1.43209540022667,-5.64646368229691,24.4292112226517,30.0756749049486,22.5987034611596,7.47697144378906,0.330858425424262
2036,-0.69709057934078,1.47423328478001,2.17132386412079,0.63161697158078,1.53970689254001,-6.34355426163769,25.9034445074317,32.2469987690694,23.2303204327403,9.01667833632907,0.388142658747881
2037,-0.601882763985036,1.94670972897226,2.54859249295729,0.616598822053536,1.93199367090376,-6.94543702562273,27.850154236404,34.7955912620267,23.8469192547939,10.9486720072328,0.45912312153411
2038,-0.954776933872081,1.63900675945255,2.59378369332463,0.601937763651722,1.99184592967291,-7.90021395949481,29.4891609958565,37.3893749553513,24.4488570184456,12.9405179369057,0.529289280359515
2039,-0.570414028692529,1.36729694210169,1.93771097079422,0.58762530571065,1.35008566508357,-8.47062798818734,30.8564579379582,39.3270859261455,25.0364823241562,14.2906036019893,0.570791192507149
2040,-0.840106389457227,1.54287310355824,2.38297949301547,0.573653159450761,1.80932633356471,-9.31073437764457,32.3993310415164,41.710065419161,25.610135483607,16.099929935554,0.628654617850794
2041,-0.911246018438204,0.981312892746478,1.89255891118468,0.560013233177333,1.33254567800735,-10.2219803960828,33.3806439342629,43.6026243303457,26.1701487167843,17.4324756135614,0.666120617128208
2042,-0.41625724777709,0.950283373729949,1.36654062150704,0.546697627594342,0.819842993912697,-10.6382376438599,34.3309273079929,44.9691649518527,26.7168463443787,18.2523186074741,0.683176388867259
2043,-0.814704654153965,1.11085586735843,1.92556052151239,0.533698631229736,1.39186189028266,-11.4529422980138,35.4417831753513,46.8947254733651,27.2505449756084,19.6441804977567,0.720872940902281
2044,-0.911438409528429,0.863275213692361,1.77471362322079,0.521008715969489,1.2537049072513,-12.3643807075423,36.3050583890437,48.6694390965859,27.7715536915779,20.897885405008,0.752492483391218
2045,-0.818584011870485,0.771612704311099,1.59019671618158,0.508620532697839,1.08157618348375,-13.1829647194127,37.0766710933548,50.2596358127675,28.2801742242757,21.9794615884918,0.777203896064564
2046,-0.773659279233732,1.11933504185321,1.89299432108694,0.496526907041192,1.39646741404575,-13.9566239986465,38.196006135208,52.1526301338544,28.7767011313169,23.3759290025375,0.812321360112334
2047,-0.837946341713815,1.1497796800868,1.98772602180062,0.484720835213227,1.50300518658739,-14.7945703403603,39.3457858152948,54.1403561556551,29.2614219665302,24.8789341891249,0.850229842472521
2048,-0.603481911426204,1.33913080049602,1.94261271192222,0.473195479958785,1.46941723196344,-15.3980522517865,40.6849166157908,56.0829688675773,29.7346174464889,26.3483514210883,0.886117047529042
2049,-1.48246682504164,0.846843061522093,2.32930988656373,0.461944166594213,1.86736571996952,-16.8805190768281,41.5317596773129,58.412278754141,30.1965616130832,28.2157171410579,0.934401654817313
2050,-0.504051368667983,0.548007801484272,1.05205917015226,0.450960379141847,0.601098791010408,-17.3845704454961,42.0797674787972,59.4643379242933,30.647521992225,28.8168159320683,0.940265772201055
2051,-1.12388375845389,0.846954157981644,1.97083791643553,0.440237756556414,1.53060015987912,-18.50845420395,42.9267216367788,61.4351758407288,31.0877597487814,30.3474160919474,0.976185364824718
2052,-1.16033227297393,0.737116474593718,1.89744874756765,0.429770089041154,1.4676786585265,-19.6687864769239,43.6638381113725,63.3326245882964,31.5175298378226,31.8150947504739,1.00944125108098
2053,-0.867499014579964,0.471254600665449,1.33875361524541,0.419551314451542,0.919202300793871,-20.5362854915039,44.135092712038,64.6713782035419,31.9370811522741,32.7342970512677,1.02496207762984
2054,-0.728399115155,0.428718945004822,1.15711806015982,0.409575514784513,0.747542545375308,-21.2646846066589,44.5638116570428,65.8284962637017,32.3466566670586,33.4818395966431,1.03509428938109
2055,-0.983007732190963,0.353063550223139,1.3360712824141,0.399836912751168,0.936234369662934,-22.2476923388499,44.9168752072659,67.1645675461158,32.7464935798098,34.418073966306,1.05104608780242
2056,-0.976664115886226,0.393029145045499,1.36969326093172,0.390329868430968,0.979363392500757,-23.2243564547361,45.3099043523114,68.5342608070475,33.1368234482408,35.3974373588067,1.06822059797304
2057,-0.814625782851847,0.523098991825097,1.33772477467694,0.381048876005488,0.956675898671455,-24.0389822375879,45.8330033441365,69.8719855817244,33.5178723242462,36.3541132574782,1.08461876415647
2058,-1.25463545111692,0.372502880968991,1.62713833208591,0.371988560569827,1.25514977151609,-25.2936176887049,46.2055062251055,71.4991239138104,33.8898608848161,37.6092630289943,1.1097497023319
2059,-0.726694571250437,0.312437818124337,1.03913238937477,0.363143675019839,0.675988714354936,-26.0203122599553,46.5179440432299,72.5382563031851,34.2530045598359,38.2852517433492,1.117719517903
2060,-1.04422057314711,0.308774023101573,1.35299459624868,0.354509097013375,0.998485499235303,-27.0645328331024,46.8267180663314,73.8912508994338,34.6075136568493,39.2837372425845,1.13512162798236
2061,-1.10442128773016,0.115837533309889,1.22025882104005,0.346079826003778,0.874178995036274,-28.1689541208326,46.9425555996413,75.1115097204738,34.9535934828531,40.1579162376208,1.14889235229336
2062,-0.488574729024689,0.177007051588255,0.665581780612944,0.337850980343916,0.327730800269029,-28.6575288498572,47.1195626512296,75.7770915010868,35.291444463197,40.4856470378898,1.14718022041035
2063,-0.941362194131749,0.230013901361163,1.17137609549291,0.329817794459071,0.841558301033841,-29.598891043989,47.3495765525907,76.9484675965797,35.6212622576561,41.3272053389236,1.16018362965342
2064,-1.0357338057861,0.140998795629514,1.17673260141562,0.32197561608705,0.854756985328566,-30.6346248497751,47.4905753482202,78.1252001979953,35.9432378737431,42.1819623242522,1.17357157617307
2065,-0.910783091874325,0.0360672136229325,0.946850305497258,0.314319903583917,0.63253040191334,-31.5454079416494,47.5266425618432,79.0720505034926,36.257557777327,42.8144927261656,1.18084326002064
2066,-0.844674955877766,0.221715148906919,1.06639010478469,0.306846223293791,0.759543881490895,-32.3900828975272,47.7483577107501,80.1384406082773,36.5644040006208,43.5740366076565,1.19170646421357
2067,-0.901516600846795,0.179827960111199,1.08134456095799,0.29955024698118,0.781794313976814,-33.291599498374,47.9281856708613,81.2197851692353,36.863954247602,44.3558309216333,1.20323041374539
2068,-0.637377933166558,0.276424934640598,0.913802867807156,0.292427749324369,0.621375118482788,-33.9289774315405,48.2046106055019,82.1335880370424,37.1563819969264,44.9772060401161,1.21048400363191
2069,-1.54702548932823,-0.0137759515687887,1.53324953775944,0.285474605468406,1.24777493229103,-35.4760029208688,48.1908346539331,83.6668375748018,37.4418566023948,46.2249809724071,1.23458036451778
2070,-0.519373062666161,0.011139202866891,0.530512265533052,0.278686788636275,0.251825476896777,-35.9953759835349,48.2019738568,84.1973498403349,37.720543391031,46.4768064493039,1.23213512508292
2071,-1.1404011087934,-0.0238376656950142,1.11656344309839,0.272060367796866,0.844503075301521,-37.1357770923283,48.178136191105,85.3139132834333,37.9926037588279,47.3213095246054,1.24554004839981
2072,-1.163025226055,0.0117810518405479,1.17480627789555,0.265591505388396,0.909214772507154,-38.2988023183833,48.1899172429455,86.4887195613288,38.2581952642163,48.2305242971125,1.26065863703256
2073,-0.859518385235205,-0.0503657570744045,0.8091526281608,0.25927645509596,0.549876173064841,-39.1583207036185,48.1395514858711,87.2978721894896,38.5174717193123,48.7804004701774,1.2664486606404
2074,-0.713539763379572,-0.074827569930194,0.638712193449378,0.253111559681925,0.385600633767454,-39.8718604669981,48.0647239159409,87.936584382939,38.7705832789942,49.1660011039448,1.26812642332835
2075,-0.953011429432816,-0.0959312119103782,0.857080217522438,0.247093248867914,0.609986968654524,-40.8248718964309,47.9687927040306,88.7936646004615,39.0176765278621,49.7759880725994,1.27572916949719
2076,-0.936700875201395,-0.0731055848325262,0.863595290368869,0.24121803726715,0.622377253101719,-41.7615727716323,47.895687119198,89.6572598908303,39.2588945651292,50.3983653257011,1.28374387215849
2077,-0.773518301947839,-0.0913778149581838,0.682140486989655,0.235482522365959,0.446657964623696,-42.5350910735802,47.8043093042398,90.33940037782,39.4943770874952,50.8450232903248,1.28739904360774
2078,-1.18093512324854,-0.160364730676172,1.02057039257237,0.229883382553276,0.790687010019093,-43.7160261968287,47.6439445735637,91.3599707703923,39.7242604700485,51.6357103003439,1.29985328082511
2079,-0.677371077815499,-0.131617688311712,0.545753389503788,0.224417375196992,0.321336014306795,-44.3933972746442,47.512326885252,91.9057241598961,39.9486778452455,51.9570463146507,1.30059489117321
2080,-0.965631800405797,-0.202287300132911,0.763344500272887,0.219081334766057,0.54426316550683,-45.35902907505,47.310039585119,92.669068660169,40.1677591800115,52.5013094801575,1.30705099193792
