years,sendr9_BAU_yearly_losses,sendr9_NBS_yearly_benefits,sendr9_GROSS_yearly_benefits,sendr9_NBS_yearly_investments,sendr9_NET_yearly_cashflow,sendr9_BAU_cumul_losses,sendr9_NBS_cumul_benefits,sendr9_GROSS_cumul_benefits,sendr9_NBS_cumul_investments,sendr9_NET_cumul_cashflow,sendr9_ROI
2015,0,0,0,0,0,0,0,0,0,0,-1
2016,0,0,0,1.60970955,-1.60970955,0,0,0,1.60970955,-1.60970955,-1
2017,0,0,0,1.95686969,-1.95686969,0,0,0,3.56657924,-3.56657924,-1
2018,0,0,0,2.56695809,-2.56695809,0,0,0,6.13353733,-6.13353733,-1
2019,0,0,0,2.53120622,-2.53120622,0,0,0,8.66474355,-8.66474355,-1
2020,0,0,0,2.38617622,-2.38617622,0,0,0,11.05091977,-11.05091977,-1
2021,-0.0375193888088245,0.125847370089637,0.163366758898461,0.860134309724771,-0.696767550826309,-0.0408961338016187,0.137173633397704,0.163366758898461,11.9110540797248,-11.7476873208263,-0.986284441510802
2022,-0.0543471980916735,0.355028033706134,0.409375231797807,0.797005186075246,-0.387629954277439,-0.146362173655955,0.696156073641666,0.572741990696268,12.7080592658,-12.1353172751037,-0.954930805820395
2023,-0.134830654540093,0.643443640371178,0.778274294911271,0.738509392601834,0.0397649023094373,-0.426437821228692,2.08841668803187,1.35101628560754,13.4465686584019,-12.0955523727943,-0.899527060030785
2024,-0.180073410843493,0.69139597997138,0.871469390814874,0.684306868374176,0.187162522440698,-0.96070178399808,4.45663915297761,2.22248567642241,14.130875526776,-11.9083898503536,-0.842721303983528
2025,-0.193245053371291,0.838948445628916,1.03219349900021,0.63408251106231,0.398110987937897,-1.79229721505047,8.11568779329412,3.25467917542262,14.7649580378383,-11.5102788624157,-0.77956732643047
2026,-0.204860726267742,1.29338586586939,1.49824659213713,0.587544345112783,0.910702247024351,-2.96746459283345,13.9438740126204,4.75292576755975,15.3525023829511,-10.5995766153914,-0.69041361147497
2027,-0.234907210483077,1.56339884161504,1.79830605209812,0.54442182437056,1.25388422772756,-4.57205154114142,22.6300144758584,6.55123181965787,15.8969242073217,-9.34569238766381,-0.587893121070518
2028,-0.181301798981659,1.95184840739327,2.13315020637492,0.504464259279143,1.62868594709578,-6.53789368097146,35.2053351579108,8.6843820260328,16.4013884666008,-7.71700644056802,-0.470509338662556
2029,-0.454118420618818,1.63105365645145,2.08517207707027,0.467439359515536,1.61773271755473,-9.49003256661448,51.3231303148199,10.7695541031031,16.8688278261164,-6.09927372301329,-0.361570690381366
2030,-0.15667112581806,1.04242783523537,1.19909896105343,0.43313188358779,0.765967077465636,-12.8130689843766,69.9087312622488,11.9686530641565,17.3019597097041,-5.33330664554765,-0.308248703327887
2031,-0.358695812848237,1.58991084068554,1.94860665353378,0.401342387544649,1.54726426598913,-17.0616935490848,92.5969801250641,13.9172597176903,17.7033020972488,-3.78604237955852,-0.21386080171715
2032,-0.371799988711497,1.26729777664857,1.63909776536007,0.371886065523024,1.26721169983705,-22.3560668479092,118.849712812291,15.5563574830503,18.0751881627718,-2.51883067972148,-0.139352943772355
2033,-0.27716438877981,0.847096376698198,1.12426076547801,0.344591675392894,0.779669090085115,-28.5001720081765,147.699477478128,16.6806182485284,18.4197798381647,-1.73916158963636,-0.0944181529267208
2034,-0.231276291686009,0.768621033044933,0.999897324730941,0.319300543253966,0.680596781476976,-35.41713940313,179.117763823795,17.6805155732593,18.7390803814187,-1.05856480815939,-0.0564896882137846
2035,-0.308335077514623,0.642410359173307,0.95074543668793,0.295865640996794,0.654879795691136,-43.4572119096369,212.876018634671,18.6312610099472,19.0349460224155,-0.403685012468252,-0.0212075732703877
2036,-0.302569279947675,0.639884853805665,0.942454133753339,0.274150731565836,0.668303402187503,-52.6985770077479,249.174812043813,19.5737151437006,19.3090967539813,0.264618389719253,0.0137043380687754
2037,-0.247966779116958,0.802015558931835,1.04998233804879,0.2540295769555,0.795952761093293,-63.0130514238236,288.944434781413,20.6236974817494,19.5631263309368,1.06057115081255,0.0542127639964874
2038,-0.373361462338447,0.64092662776224,1.01428809010069,0.235385204334913,0.778902885765774,-75.0887168169239,331.737385600813,21.63798557185,19.7985115352717,1.83947403657832,0.0929097136065625
2039,-0.211720906347341,0.507500400176446,0.719221306523787,0.218109226035102,0.501112080488684,-88.2529793910305,377.139731564617,22.3572068783738,20.0166207613068,2.340586117067,0.116932130801592
2040,-0.295974169365073,0.543562804654294,0.839536974019367,0.20210120944537,0.637435764573997,-103.076002786911,425.588426763789,23.1967438523932,20.2187219707522,2.978021881641,0.147290312708633
2041,-0.304720128309365,0.328150449537047,0.632870577846411,0.187268093155802,0.44560248469061,-119.76050286019,476.041729967954,23.8296144302396,20.405990063908,3.42362436633161,0.167775459833579
2042,-0.132121435401032,0.301623104571554,0.433744539972586,0.173523645951706,0.26022089402088,-137.324746780465,528.50342090688,24.2633589702122,20.5795137098597,3.68384526035249,0.179005457188599
2043,-0.245446954838703,0.33466875206571,0.580115706904413,0.160787965514884,0.419327741389529,-156.67041388854,583.394095638063,24.8434746771166,20.7403016753746,4.10317300174201,0.197835743470106
2044,-0.260633810612245,0.246861122155421,0.507494932767665,0.148987013917461,0.358507918850204,-178.077976750503,640.237709239213,25.3509696098843,20.8892886892921,4.46168092059222,0.213587019977339
2045,-0.222183938687532,0.209434764543511,0.431618703231043,0.138052187207923,0.293566516023121,-201.401449637214,698.887295708113,25.7825883131153,21.0273408765,4.75524743661534,0.22614592423
2046,-0.199317356346711,0.288373586922383,0.487690943269094,0.127919916587158,0.359771026681936,-226.598337832392,760.247351060408,26.2702792563844,21.1552607930871,5.11501846329728,0.241784703735191
2047,-0.20490736324811,0.281161586171476,0.486068949419586,0.11853129885599,0.367537650563595,-253.894518793628,824.487929955569,26.756348205804,21.2737920919431,5.48255611386087,0.25771409677061
2048,-0.140072083605769,0.310820983851601,0.45089306745737,0.109831753985826,0.341061313471544,-282.754904255984,892.199490144561,27.2072412732614,21.383623845929,5.82361742733242,0.272340061221247
2049,-0.326601587414888,0.186567607121078,0.513169194535966,0.101770707821728,0.411398486714238,-315.590743708551,962.181985217993,27.7204104677973,21.4853945537507,6.23501591404665,0.290197878305112
2050,-0.105403269465688,0.114595093991687,0.219998363457374,0.0943012980733446,0.12569706538403,-349.825039849984,1033.68489115265,27.9404088312547,21.579695851824,6.36071297943068,0.294754524026021
2051,-0.223072818851745,0.168106754847213,0.391179573698958,0.0873801018844753,0.303799471814483,-387.285363686359,1107.61891823256,28.3315884049537,21.6670759537085,6.66451245124517,0.307587071992725
2052,-0.21860173670506,0.138869654195784,0.357471390900844,0.0809668833975413,0.276504507503302,-428.191578572302,1183.74199333041,28.6890597958545,21.748042837106,6.94101695874847,0.319155935581746
2053,-0.155126574494188,0.0842699653684954,0.239396539862683,0.0750243598454282,0.164372180017255,-471.763182663726,1261.31299736481,28.9284563357172,21.8230671969515,7.10538913876573,0.325590764792142
2054,-0.1236324848429,0.0727672334677311,0.196399718310631,0.0695179848109013,0.12688173349973,-517.650226736132,1340.24681605016,29.1248560540278,21.8925851817624,7.23227087226546,0.33035252859449
2055,-0.15836751371218,0.0568803223008341,0.215247836013014,0.0644157473935875,0.150832088619427,-566.770180152794,1420.34178781015,29.3401038900408,21.957000929156,7.38310296088488,0.336252796304303
2056,-0.149348330488557,0.0601007508017506,0.209449081290307,0.0596879861169939,0.149761095173314,-619.213316879187,1501.77407490078,29.5495529713311,22.016688915273,7.53286405605819,0.342143366109545
2057,-0.11823859712136,0.0759250348454117,0.194163631966772,0.0553072164937283,0.138856415473043,-674.524193064373,1585.04783528047,29.7437166032979,22.0719961317667,7.67172047153124,0.347577102937684
2058,-0.172848115074194,0.0513188279335465,0.22416694300774,0.0512479712464822,0.172918971761258,-734.40459963581,1669.67829511581,29.9678835463057,22.1232441030132,7.8446394432925,0.354588115864258
2059,-0.0950265549836309,0.0408560771988017,0.135882632182433,0.0474866522559147,0.088395979926518,-797.023289676755,1755.48606292407,30.1037661784881,22.1707307552691,7.93303542321901,0.357815694520292
2060,-0.129607845316634,0.0383247915747641,0.167932636891398,0.0440013933747466,0.123931243516652,-863.712886973543,1842.49759020939,30.2716988153795,22.2147321486438,8.05696666673566,0.362685744434129
2061,-0.130112730377959,0.0136469098401514,0.14375964021811,0.040771933310545,0.102987706907565,-934.857058559397,1929.97633675545,30.4154584555976,22.2555040819544,8.15995437364323,0.366648822852754
2062,-0.0546338740831935,0.0197934530662583,0.0744273271494519,0.0377794978382114,0.0366478293112404,-1008.04003148779,2018.19372611902,30.489885782747,22.2932835797926,8.19660220295447,0.36767137391928
2063,-0.0999156979404721,0.0244135569006025,0.124329254841075,0.0350066906574253,0.0893225641836493,-1085.28718632065,2107.40416400474,30.6142150375881,22.32829027045,8.28592476713812,0.371095353328687
2064,-0.104344869788875,0.0142049056313107,0.118549775420186,0.03243739226055,0.086112383159636,-1167.16067544327,2197.24440421939,30.7327648130083,22.3607276627106,8.37203715029775,0.374408081730686
2065,-0.0870931273583233,0.00344890727281459,0.0905420346311379,0.0300566662230785,0.0604853684080594,-1253.24313904948,2287.25132076257,30.8233068476394,22.3907843289336,8.43252251870581,0.376606839440153
2066,-0.0766663027634172,0.0201238128525665,0.0967901156159837,0.0278506723718433,0.0689394432441403,-1343.36413369525,2378.31829420049,30.9200969632554,22.4186350013055,8.50146196194995,0.379214076211817
2067,-0.0776666559908395,0.0154923784014316,0.0931590343922711,0.0258065863262035,0.0673524480660676,-1437.94456510427,2470.27480357778,31.0132559976477,22.4444415876317,8.56881441001602,0.381778908446445
2068,-0.0521199365009303,0.0226039360496293,0.0747238725505597,0.0239125249444638,0.0508113476060959,-1535.78693509145,2563.64598564978,31.0879798701983,22.4683541125761,8.61962575762212,0.383634053230338
2069,-0.120074365341613,-0.00106923813021167,0.119005127211402,0.0221574772421178,0.096847649969284,-1641.82052712586,2656.94422653304,31.2069849974097,22.4905115898183,8.7164734075914,0.387562255877606
2070,-0.0382629303988087,0.000820640450249959,0.0390835708490586,0.020531240380311,0.0185523304687476,-1750.69925577556,2750.30348820506,31.2460685682587,22.5110428301986,8.73502573806015,0.38803292250602
2071,-0.0797448074324412,-0.00166689601214005,0.0780779114203011,0.0190243603523983,0.0590535510679028,-1866.04127689562,2843.52764846055,31.324146479679,22.530067190551,8.79407928912805,0.390326367638009
2072,-0.0771933508773833,0.000781942513419781,0.0779752933908031,0.0176280770237819,0.0603472163670212,-1988.20288049775,2936.82088877807,31.4021217730698,22.5476952675748,8.85442650549507,0.392697630530265
2073,-0.0541491826722382,-0.00317301482678721,0.050976167845451,0.0163342732055226,0.0346418946399284,-2115.5787874897,3029.80858317319,31.4530979409153,22.5640295407803,8.889068400135,0.393948624471957
2074,-0.0426678629220761,-0.00447449835374513,0.038193364568331,0.0151354274656678,0.0230579371026632,-2247.43318624656,3122.32662657907,31.4912913054836,22.5791649682459,8.91212633723767,0.394705754166338
2075,-0.0540912224397147,-0.00544488383045303,0.0486463386092617,0.0140245704039674,0.0346217682052943,-2385.47606773142,3214.22173029122,31.5399376440929,22.5931895386499,8.94674810544296,0.395993141656155
2076,-0.0504632932651116,-0.00393844893753097,0.0465248443275806,0.0129952441357863,0.0335296001917944,-2529.81197446334,3305.62568970829,31.5864624884205,22.6061847827857,8.98027770563476,0.397248708347864
2077,-0.0395540750648876,-0.00467263016662939,0.0348814448982582,0.0120414647496735,0.0228399801485847,-2679.52440553254,3396.3945057231,31.6213439333187,22.6182262475354,9.00311768578334,0.398047025759342
2078,-0.0573182147428486,-0.00778350977045279,0.0495347049723958,0.0111576875203397,0.0383770174520561,-2837.72921888776,3486.01010123384,31.6708786382911,22.6293839350557,9.04149470323539,0.399546657089016
2079,-0.0312060816976421,-0.00606354842836795,0.0251425332692742,0.0103387746748102,0.014803758594464,-3000.97370827808,3574.64645430081,31.6960211715604,22.6397227097305,9.05629846182986,0.400018082285852
2080,-0.0422250456297278,-0.00884559774733711,0.0333794478823907,0.00957996552436539,0.0237994823580253,-3171.65112700369,3661.72570536816,31.7294006194428,22.6493026752549,9.08009794418788,0.400899668938072
