YEAR,FONAG,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_sigmoid,Costs_sigmoid,Utility_sigmoid,Incomes_sigmoid_INF_0.01,Costs_sigmoid_INF_0.01,Utility_sigmoid_INF_0.01,Incomes_sigmoid_INF_0.01_DIS_0.0346,Costs_sigmoid_INF_0.01_DIS_0.0346,Utility_sigmoid_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_sigmoid_INF_0.01,FNeto-Presente_EPMAPS-FONAG_sigmoid_INF_0.01_DIS_0.0346
2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,3048631.19,2374307.10,2374307.10,2374307.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017,1956869.69,2398158.57,2398158.57,2398158.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018,2566958.09,2412645.36,2412645.36,2412645.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019,2531206.22,2146679.51,2146679.51,2146679.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,2386176.22,2156773.34,2156773.34,2156773.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,306137.20,263277.992,265910.7719,257017.9508,87937.27921,34326.64569,53610.63352,88816.652,34669.91215,54146.73985,85846.36768,33510.45056,52335.91712,-211764.0321,-204682.0337
2022,306137.20,263277.992,268569.8796,250906.7566,291822.6292,114503.0639,177319.5652,297688.264,116804.5755,180883.6885,278110.1026,109122.6508,168987.4518,-87686.19117,-81919.30476
2023,306137.20,263277.992,271255.5784,244940.87,549658.5327,217457.9687,332200.564,566313.7359,224047.1626,342266.5733,511375.2129,202312.1782,309063.0347,71010.99486,64122.16464
2024,306137.20,263277.992,273968.1342,239116.8362,898580.3445,356025.3591,542554.9854,935066.3098,370481.4164,564584.8935,816117.1673,323352.7301,492764.4373,290616.7593,253647.6011
2025,306137.20,263277.992,276707.8156,233431.2822,927062.5178,368474.5548,558587.9631,974352.0233,387270.4603,587081.563,821965.3703,326702.1566,495263.2138,310373.7475,261831.9316
2026,306137.20,263277.992,279474.8937,227880.9153,1044711.911,415503.6988,629208.2123,1108982.745,441065.5489,667917.1962,904252.9713,359640.2513,544612.72,388442.3025,316731.8047
2027,306137.20,263277.992,282269.6427,222462.5213,1004728.918,398910.0247,605818.893,1077205.392,427685.5398,649519.8522,848967.7642,337067.786,511899.9782,367250.2095,289437.4569
2028,306137.20,263277.992,285092.3391,217172.962,1460493.722,577066.3965,883427.3253,1581505.42,624880.2171,956625.2032,1204733.237,476010.9937,728722.2433,671532.8641,511549.2813
2029,306137.20,263277.992,287943.2625,212009.1742,932419.1583,372217.4745,560201.6838,1019773.101,407088.7701,612684.3313,750846.7162,299734.5839,451112.1323,324741.0688,239102.9581
2030,306137.20,263277.992,290822.6951,206968.1673,1265566.348,500113.6577,765452.69,1397972.589,552436.6115,845535.9773,994887.3646,393149.4859,601737.8787,554713.2822,394769.7114
2031,306137.20,263277.992,293730.922,202047.022,1089485.621,424940.2846,664545.3367,1215504.622,474092.4247,741412.197,836102.2646,326111.2651,509990.9995,447681.275,307943.9774
2032,306137.20,263277.992,296668.2313,197242.8883,905571.0791,360771.8922,544799.187,1020420.159,406526.7983,613893.3603,678436.712,270283.473,408153.239,317225.129,210910.3507
2033,306137.20,263277.992,299634.9136,192552.984,997651.4533,399620.9948,598030.4585,1135420.415,454805.9689,680614.4463,729649.9142,292269.8339,437380.0803,380979.5327,244827.0963
2034,306137.20,263277.992,302631.2627,187974.5929,1091650.585,432802.5402,658848.0444,1254824.197,497495.3593,757328.8374,779414.0811,309011.3255,470402.7555,454697.5747,282428.1627
2035,306137.20,263277.992,305657.5753,183505.0636,918518.4288,362694.0515,555824.3772,1066371.381,421076.5341,645294.8466,640208.4026,252798.1716,387410.231,339637.2713,203905.1674
2036,306137.20,263277.992,308714.1511,179141.8077,965377.6675,381623.8097,583753.8578,1131981.237,447483.9297,684497.3075,656870.3261,259667.6563,397202.6699,375783.1564,218060.8622
2037,306137.20,263277.992,311801.2926,174882.2983,1307296.865,514251.3602,793045.5046,1548237.47,609030.1647,939207.3053,868371.4065,341591.2552,526780.1513,627406.0127,351897.853
2038,306137.20,263277.992,314919.3055,170724.0685,903413.2172,357924.1228,545489.0945,1080615.439,428130.036,652485.4034,585823.2919,232097.8749,353725.417,337566.0978,183001.3486
2039,306137.20,263277.992,318068.4986,166664.7102,1148650.729,455866.6283,692784.1012,1387695.227,550736.5538,836958.6734,727138.4116,288580.4427,438557.969,518890.1748,271893.2588
2040,306137.20,263277.992,321249.1836,162701.8725,1076386.575,428625.8631,647760.7119,1313396.178,523005.009,790391.1689,665190.85,264884.3908,400306.4592,469141.9854,237604.5867
2041,306137.20,263277.992,324461.6754,158833.2604,1148438.808,456316.4233,692122.3852,1415326.732,562360.6824,852966.0492,692842.8729,275291.6214,417551.2515,528504.3738,258717.9911
2042,306137.20,263277.992,327706.2922,155056.6335,1005800.171,400437.2683,605362.9023,1251935.424,498430.6187,753504.8054,592362.4198,235836.0996,356526.3202,425798.5132,201469.6867
2043,306137.20,263277.992,330983.3551,151369.8046,1072283.847,426626.0052,645657.8419,1348035.598,536338.4364,811697.1614,616501.9536,245285.5803,371216.3733,480713.8063,219846.5687
2044,306137.20,263277.992,334293.1886,147770.6385,1015696.639,403389.5096,612307.1298,1289665.215,512197.6372,777467.5782,570082.3675,226411.3493,343671.0181,443174.3896,195900.3796
2045,306137.20,263277.992,337636.1205,144257.051,1459752.219,576668.6906,883083.5279,1872032.95,739538.3794,1132494.57,799837.2693,315972.1937,483865.0756,794858.4499,339608.0246
2046,306137.20,263277.992,341012.4817,140827.007,933145.397,372510.9015,560634.4955,1208662.468,482497.0975,726165.3707,499138.0874,199255.5281,299882.5593,385152.889,159055.5523
2047,306137.20,263277.992,344422.6065,137478.5203,1265825.338,500217.7764,765607.5617,1655963.945,654389.336,1001574.609,660988.7637,261203.7535,399785.0102,657152.0029,262306.4899
2048,306137.20,263277.992,347866.8326,134209.6516,1093485.866,426624.1491,666861.7168,1444812.997,563694.6345,881118.3626,557419.7674,217477.6477,339942.1196,533251.53,205732.4681
2049,306137.20,263277.992,351345.5009,131018.5077,902694.622,359554.6154,543140.0066,1204649.472,479827.0281,724822.4443,449219.8584,178929.9166,270289.9418,373476.9434,139271.4341
2050,306137.20,263277.992,354858.9559,127903.2407,997657.5113,399623.4688,598034.0425,1344691.595,538632.059,806059.5355,484672.5995,194141.3193,290531.2802,451200.5796,162628.0395
2051,306137.20,263277.992,358407.5455,124862.0463,1091652.632,432803.365,658849.2666,1486096.644,589187.0816,896909.562,517726.4547,205261.0375,312465.4172,538502.0165,187603.3709
2052,306137.20,263277.992,361991.621,121893.1633,921934.2387,364109.4145,557824.8242,1267604.888,500628.8454,766976.0423,426839.63,168576.3705,258263.2595,404984.4213,136370.0962
2053,306137.20,263277.992,365611.5372,118994.8723,961719.6867,380092.5378,581627.1489,1335530.594,527830.7387,807699.8551,434672.5317,171792.0388,262880.493,442088.3179,143885.6207
2054,306137.20,263277.992,369267.6525,116165.4949,1307296.932,514251.3871,793045.5448,1833584.591,721277.1607,1112307.43,576815.3805,226901.8631,349913.5173,743039.7776,233748.0224