DATE,HIST,BASE_NSE0.60,Solo periodo historico,,BASE_NSE0.60_Scaled
2001-01-01,,"10,717,751",Media histórica,Media BASE,2021268.295
2001-02-01,,"10,720,676","2,439,791","12,936,964",2021819.923
2001-03-01,,"12,161,906",,Factor de ajuste,2293622.515
2001-04-01,,"10,933,671",,0.1885907122,2061988.801
2001-05-01,,"10,006,542",,,1887140.883
2001-06-01,,"8,400,241",,,1584207.433
2001-07-01,,"7,522,737",,,1418718.329
2001-08-01,,"6,773,032",,,1277330.929
2001-09-01,,"6,529,846",,,1231468.308
2001-10-01,,"5,831,635",,,1099792.198
2001-11-01,,"7,653,874",,,1443449.549
2001-12-01,,"9,314,488",,,1756625.926
2002-01-01,,"8,422,029",,,1588316.448
2002-02-01,,"7,959,806",,,1501145.483
2002-03-01,,"10,442,210",,,1969303.821
2002-04-01,,"13,347,742",,,2517260.171
2002-05-01,,"12,911,588",,,2435005.577
2002-06-01,,"11,395,821",,,2149145.999
2002-07-01,,"9,809,423",,,1849966.07
2002-08-01,,"8,593,421",,,1620639.387
2002-09-01,,"7,598,535",,,1433013.128
2002-10-01,,"10,790,436",,,2034976.011
2002-11-01,,"11,191,844",,,2110677.831
2002-12-01,,"13,670,072",,,2578048.615
2003-01-01,,"11,931,215",,,2250116.335
2003-02-01,,"11,785,767",,,2222686.193
2003-03-01,,"10,969,435",,,2068733.56
2003-04-01,,"13,397,983",,,2526735.157
2003-05-01,,"11,550,558",,,2178327.96
2003-06-01,,"11,427,847",,,2155185.805
2003-07-01,,"10,143,932",,,1913051.361
2003-08-01,,"9,072,188",,,1710930.397
2003-09-01,,"8,999,373",,,1697198.164
2003-10-01,,"9,365,659",,,1766276.301
2003-11-01,,"10,905,187",,,2056616.983
2003-12-01,,"10,047,356",,,1894838.024
2004-01-01,,"9,171,347",,,1729630.863
2004-02-01,,"8,386,670",,,1581648.069
2004-03-01,3021863,"8,028,847",,,1514165.974
2004-04-01,2613125,"9,167,730",,,1728948.73
2004-05-01,2872733,"11,023,300",,,2078891.998
2004-06-01,2610797,"9,152,265",,,1726032.175
2004-07-01,2246570,"8,122,304",,,1531791.096
2004-08-01,1915285,"7,231,849",,,1363859.554
2004-09-01,1999565,"8,384,776",,,1581290.878
2004-10-01,2276917,"8,327,749",,,1570536.115
2004-11-01,2278646,"9,572,892",,,1805358.52
2004-12-01,2308361,"10,180,629",,,1919972.074
2005-01-01,2320502,"9,163,543",,,1728159.101
2005-02-01,2196333,"11,233,990",,,2118626.175
2005-03-01,2696218,"13,387,987",,,2524850.004
2005-04-01,2726182,"12,431,090",,,2344388.117
2005-05-01,2695736,"10,598,287",,,1998738.494
2005-06-01,2236372,"10,016,869",,,1889088.459
2005-07-01,2008459,"9,187,215",,,1732623.42
2005-08-01,1945870,"8,508,359",,,1604597.484
2005-09-01,1819174,"8,454,196",,,1594382.845
2005-10-01,1960465,"8,844,636",,,1668016.203
2005-11-01,2100081,"8,856,227",,,1670202.158
2005-12-01,2131666,"10,230,024",,,1929287.512
2006-01-01,2360494,"10,204,557",,,1924484.673
2006-02-01,2299180,"10,993,685",,,2073306.884
2006-03-01,2404599,"13,225,676",,,2494239.657
2006-04-01,2437960,"15,614,714",,,2944790.035
2006-05-01,2915347,"15,239,008",,,2873935.373
2006-06-01,2559460,"14,043,022",,,2648383.521
2006-07-01,2216873,"12,045,148",,,2271603.04
2006-08-01,1986520,"10,604,014",,,1999818.553
2006-09-01,2089512,"9,949,635",,,1876408.751
2006-10-01,2348822,"11,078,316",,,2089267.505
2006-11-01,2055242,"15,440,329",,,2911902.643
2006-12-01,,"17,399,549",,,3281393.339
2007-01-01,2658756,"16,498,974",,,3111553.258
2007-02-01,2459211,"14,555,448",,,2745022.305
2007-03-01,2630866,"15,288,690",,,2883304.936
2007-04-01,2844466,"17,214,362",,,3246468.79
2007-05-01,3254809,"16,644,263",,,3138953.414
2007-06-01,3029103,"15,080,009",,,2843949.638
2007-07-01,2808657,"13,844,526",,,2610949.019
2007-08-01,2667226,"13,406,295",,,2528302.723
2007-09-01,2313961,"12,011,542",,,2265265.261
2007-10-01,2460663,"14,291,885",,,2695316.771
2007-11-01,2131603,"15,648,363",,,2951135.924
2007-12-01,2485876,"14,874,489",,,2805190.475
2008-01-01,2633574,"16,524,014",,,3116275.569
2008-02-01,2454799,"19,327,045",,,3644901.182
2008-03-01,2701449,"20,253,075",,,3819541.839
2008-04-01,2694661,"21,544,265",,,4063048.281
2008-05-01,2874854,"22,862,270",,,4311611.783
2008-06-01,2674897,"21,282,090",,,4013604.511
2008-07-01,2434786,"18,565,074",,,3501200.528
2008-08-01,,"17,328,708",,,3268033.384
2008-09-01,,"17,156,599",,,3235575.225
2008-10-01,,"18,634,049",,,3514208.573
2008-11-01,,"17,104,781",,,3225802.832
2008-12-01,,"17,226,891",,,3248831.643
2009-01-01,,"18,130,258",,,3419198.269
2009-02-01,,"17,379,746",,,3277658.677
2009-03-01,,"17,367,954",,,3275434.815
2009-04-01,,"15,530,441",,,2928896.93
2009-05-01,,"13,807,020",,,2603875.736
2009-06-01,,"12,693,521",,,2393880.166
2009-07-01,,"11,337,605",,,2138167.002
2009-08-01,,"10,028,231",,,1891231.227
2009-09-01,,"8,921,927",,,1682592.567
2009-10-01,,"8,902,957",,,1679015.002
2009-11-01,,"8,804,071",,,1660366.021
2009-12-01,,"9,590,136",,,1808610.579
2010-01-01,,"7,715,155",,,1455006.577
2010-02-01,,"7,285,637",,,1374003.471
2010-03-01,,"6,135,508",,,1157099.824
2010-04-01,,"10,529,082",,,1985687.074
2010-05-01,,"11,414,872",,,2152738.841
2010-06-01,,"10,673,913",,,2013000.855
2010-07-01,,"11,972,544",,,2257910.6
2010-08-01,,"11,007,123",,,2075841.166
2010-09-01,,"11,772,870",,,2220253.938
2010-10-01,,"10,804,023",,,2037538.393
2010-11-01,,"12,976,200",,,2447190.8
2010-12-01,,"14,276,776",,,2692467.354
2011-01-01,,"14,529,013",,,2740036.91
2011-02-01,,"17,288,990",,,3260542.938
2011-03-01,,"17,367,007",,,3275256.22
2011-04-01,,"19,966,850",,,3765562.463
2011-05-01,,"16,954,874",,,3197531.764
2011-06-01,,"15,085,396",,,2844965.576
2011-07-01,,"14,307,354",,,2698234.081
2011-08-01,,"13,421,760",,,2531219.278
2011-09-01,,"13,230,660",,,2495179.593
2011-10-01,,"14,030,968",,,2646110.249
2011-11-01,,"12,356,885",,,2330393.743
2011-12-01,,"12,184,145",,,2297816.584
2012-01-01,,"15,006,057",,,2830002.978
2012-02-01,,"15,316,141",,,2888481.94
2012-03-01,,"15,703,165",,,2961471.072
2012-04-01,,"16,918,342",,,3190642.168
2012-05-01,,"14,927,187",,,2815128.828
2012-06-01,,"12,872,199",,,2427577.178
2012-07-01,,"10,934,773",,,2062196.628
2012-08-01,,"9,772,977",,,1843092.693
2012-09-01,,"8,567,017",,,1615659.838
2012-10-01,,"10,002,027",,,1886289.396
2012-11-01,,"12,009,331",,,2264848.287
2012-12-01,,"10,602,733",,,1999576.968
2013-01-01,,"9,023,951",,,1701833.346
2013-02-01,,"11,176,255",,,2107737.891
2013-03-01,,"10,167,946",,,1917580.178
2013-04-01,,"10,095,552",,,1903927.342
2013-05-01,,"12,800,944",,,2414139.146
2013-06-01,,"10,978,613",,,2070464.445
2013-07-01,,"9,649,779",,,1819858.695
2013-08-01,,"8,776,724",,,1655208.63
2013-09-01,,"8,526,198",,,1607961.754
2013-10-01,,"10,157,248",,,1915562.635
2013-11-01,,"9,028,053",,,1702606.945
2013-12-01,,"9,138,197",,,1723379.081
2014-01-01,,"11,123,781",,,2097841.782
2014-02-01,,"9,942,893",,,1875137.273
2014-03-01,,"12,137,869",,,2289089.36
2014-04-01,,"12,349,827",,,2329062.67
2014-05-01,,"12,914,991",,,2435647.351
2014-06-01,,"11,242,592",,,2120248.433
2014-07-01,,"9,955,850",,,1877580.842
2014-08-01,,"8,971,225",,,1691889.712
2014-09-01,,"9,142,071",,,1724109.681
2014-10-01,,"10,707,304",,,2019298.088
2014-11-01,,"10,896,688",,,2055014.151
2014-12-01,,"9,825,265",,,1852953.724
2015-01-01,,"9,140,770",,,1723864.325
2015-02-01,,"9,659,377",,,1821668.788
2015-03-01,,"12,251,203",,,2310463.1
2015-04-01,,"11,919,410",,,2247890.021
2015-05-01,,"10,261,474",,,1935218.69
2015-06-01,,"8,920,484",,,1682320.431
2015-07-01,,"8,591,590",,,1620294.077
2015-08-01,,"7,588,841",,,1431184.929
2015-09-01,,"6,759,710",,,1274818.523
2015-10-01,,"7,832,401",,,1477118.083
2015-11-01,,"8,701,867",,,1641091.295
2015-12-01,,"7,864,623",,,1483194.853
2016-01-01,,"9,882,072",,,1863666.997
2016-02-01,,"8,683,025",,,1637537.869
2016-03-01,,"8,291,249",,,1563652.554
2016-04-01,,"11,583,482",,,2184537.121
2016-05-01,,"11,482,111",,,2165419.492
2016-06-01,,"10,495,607",,,1979374
2016-07-01,,"9,307,794",,,1755363.5
2016-08-01,,"8,374,565",,,1579365.178
2016-09-01,,"9,546,342",,,1800351.437
2016-10-01,,"10,145,441",,,1913335.944
2016-11-01,,"9,073,531",,,1711183.674
2016-12-01,,"9,497,800",,,1791196.867
2017-01-01,,"11,745,837",,,2215155.766
2017-02-01,,"12,296,585",,,2319021.723
2017-03-01,,"17,846,965",,,3365771.841
2017-04-01,,"18,086,738",,,3410990.802
2017-05-01,,"19,125,308",,,3606855.458
2017-06-01,,"18,807,144",,,3546852.682
2017-07-01,,"16,263,431",,,3067132.036
2017-08-01,,"14,634,375",,,2759907.204
2017-09-01,,"12,709,781",,,2396946.651
2017-10-01,,"14,142,299",,,2667106.241
2017-11-01,,"13,719,354",,,2587342.742
2017-12-01,,"15,285,648",,,2882731.243
2018-01-01,,"14,718,278",,,2775730.531
2018-02-01,,"15,572,562",,,2936840.559
2018-03-01,,"13,668,431",,,2577739.138
2018-04-01,,"13,576,691",,,2560437.826
2018-05-01,,"15,862,360",,,2991493.77
2018-06-01,,"12,976,126",,,2447176.844
2018-07-01,,"11,698,027",,,2206139.244
2018-08-01,,"10,506,920",,,1981507.526
2018-09-01,,"10,124,196",,,1909329.335
2018-10-01,,"9,115,708",,,1719137.864
2018-11-01,,"12,269,787",,,2313967.869
2018-12-01,,"10,365,317",,,1954802.516
2019-01-01,,"10,605,796",,,2000154.622
2019-02-01,,"11,460,069",,,2161262.575
2019-03-01,,"13,506,760",,,2547249.488
2019-04-01,,"15,439,531",,,2911752.148
2019-05-01,,"13,288,402",,,2506069.198
2019-06-01,,"12,116,529",,,2285064.834
2019-07-01,,"10,818,612",,,2040289.743
2019-08-01,,"9,539,663",,,1799091.84
2019-09-01,,"9,475,757",,,1787039.762
2019-10-01,,"11,214,133",,,2114881.33
2019-11-01,,"12,866,624",,,2426525.784
2019-12-01,,"14,823,337",,,2795543.683
2020-01-01,,"14,617,432",,,2756711.912
2020-02-01,,"15,077,717",,,2843517.388
2020-03-01,,"15,139,352",,,2855141.177
2020-04-01,,"16,438,643",,,3100175.392
2020-05-01,,"15,310,160",,,2887353.979
2020-06-01,,"15,128,147",,,2853028.018
2020-07-01,,"14,423,856",,,2720205.276
2020-08-01,,"13,642,787",,,2572902.917
2020-09-01,,"13,288,303",,,2506050.527
2020-10-01,,"12,781,222",,,2410419.76
2020-11-01,,"12,928,944",,,2438278.757
2020-12-01,,"15,444,830",,,2912751.49