DATE,HIST,BASE_NSE0.60,Solo periodo historico,,NSE0.6_Scaled
2001-01-01,,"17,861,553",Media histórica,Media BASE,7624332.058
2001-02-01,,"15,142,643","6,418,054","15,035,601",6463745.816
2001-03-01,,"18,214,808",,Factor de ajuste,7775121.489
2001-04-01,,"13,755,407",,0.4268571752,5871594.175
2001-05-01,,"13,475,004",,,5751902.143
2001-06-01,,"10,651,928",,,4546851.896
2001-07-01,,"9,732,743",,,4154491.184
2001-08-01,,"9,143,763",,,3903080.845
2001-09-01,,"8,171,954",,,3488257.2
2001-10-01,,"7,509,966",,,3205682.872
2001-11-01,,"12,859,689",,,5489250.52
2001-12-01,,"15,728,261",,,6713721.061
2002-01-01,,"16,078,302",,,6863138.573
2002-02-01,,"13,907,255",,,5936411.584
2002-03-01,,"18,431,357",,,7867556.984
2002-04-01,,"19,735,825",,,8424378.509
2002-05-01,,"17,664,074",,,7540036.73
2002-06-01,,"15,068,306",,,6432014.534
2002-07-01,,"13,811,142",,,5895385.06
2002-08-01,,"12,939,377",,,5523265.915
2002-09-01,,"12,126,231",,,5176168.71
2002-10-01,,"18,022,659",,,7693101.31
2002-11-01,,"19,582,482",,,8358922.949
2002-12-01,,"21,557,879",,,9202135.333
2003-01-01,,"15,987,906",,,6824552.392
2003-02-01,,"16,347,793",,,6978172.74
2003-03-01,,"16,953,549",,,7236744.035
2003-04-01,,"15,309,337",,,6534900.346
2003-05-01,,"14,277,613",,,6094501.553
2003-06-01,,"15,669,547",,,6688658.569
2003-07-01,,"14,235,669",,,6076597.456
2003-08-01,,"13,017,720",,,5556707.186
2003-09-01,,"14,445,735",,,6166265.635
2003-10-01,,"14,470,565",,,6176864.499
2003-11-01,,"16,369,673",,,6987512.375
2003-12-01,,"13,903,574",,,5934840.323
2004-01-01,,"11,562,706",,,4935624.021
2004-02-01,,"11,753,143",,,5016913.42
2004-03-01,6582627,"10,489,659",,,4477586.209
2004-04-01,6394253,"12,231,700",,,5221188.91
2004-05-01,6559142,"13,927,144",,,5944901.346
2004-06-01,6478819,"12,348,833",,,5271187.971
2004-07-01,6609936,"10,964,780",,,4680395.017
2004-08-01,6683501,"10,199,749",,,4353836.046
2004-09-01,6256893,"10,211,210",,,4358728.256
2004-10-01,6538823,"11,498,666",,,4908288.087
2004-11-01,6570530,"11,644,663",,,4970607.954
2004-12-01,6714377,"12,113,680",,,5170811.226
2005-01-01,6598693,"11,818,735",,,5044911.836
2005-02-01,6116304,"13,700,510",,,5848160.997
2005-03-01,6508317,"15,301,271",,,6531457.316
2005-04-01,6533208,"15,899,173",,,6786676.074
2005-05-01,6697688,"12,864,436",,,5491276.811
2005-06-01,6439626,"13,348,696",,,5697986.667
2005-07-01,6661802,"12,539,706",,,5352663.481
2005-08-01,6710061,"11,618,739",,,4959542.109
2005-09-01,6335554,"10,739,796",,,4584358.983
2005-10-01,6413425,"10,882,714",,,4645364.556
2005-11-01,6562143,"13,422,647",,,5729553.182
2005-12-01,6002921,"17,532,458",,,7483855.496
2006-01-01,5909166,"15,275,023",,,6520253.169
2006-02-01,5443868,"17,224,994",,,7352612.281
2006-03-01,6403516,"17,304,017",,,7386343.816
2006-04-01,6657840,"17,113,965",,,7305218.756
2006-05-01,7043868,"16,485,499",,,7036953.535
2006-06-01,6816331,"17,606,575",,,7515492.869
2006-07-01,7224265,"14,269,766",,,6091152.005
2006-08-01,6718550,"13,615,031",,,5811673.673
2006-09-01,6533662,"13,275,472",,,5666730.477
2006-10-01,6717402,"13,352,574",,,5699642.019
2006-11-01,5947800,"17,835,396",,,7613166.755
2006-12-01,,"17,313,821",,,7390528.724
2007-01-01,6588131,"14,424,898",,,6157371.213
2007-02-01,5957422,"12,303,156",,,5251690.416
2007-03-01,6652862,"15,180,421",,,6479871.626
2007-04-01,6397766,"18,219,453",,,7777104.241
2007-05-01,5577357,"16,000,146",,,6829777.124
2007-06-01,5484030,"16,511,325",,,7047977.548
2007-07-01,6444557,"13,564,622",,,5790156.229
2007-08-01,6656769,"15,146,192",,,6465260.732
2007-09-01,6603229,"13,283,015",,,5669950.261
2007-10-01,6418577,"15,801,140",,,6744829.985
2007-11-01,5933394,"17,111,814",,,7304300.586
2007-12-01,6045799,"16,663,130",,,7112776.601
2008-01-01,6659864,"17,072,737",,,7287620.288
2008-02-01,5991580,"20,926,471",,,8932614.297
2008-03-01,6402360,"20,737,271",,,8851852.92
2008-04-01,5888236,"21,279,153",,,9083159.14
2008-05-01,6705264,"23,571,019",,,10061458.59
2008-06-01,6419210,"22,538,295",,,9620632.937
2008-07-01,6527498,"20,581,495",,,8785358.817
2008-08-01,,"19,517,260",,,8331082.471
2008-09-01,,"19,624,862",,,8377013.157
2008-10-01,,"22,293,074",,,9515958.594
2008-11-01,,"23,617,603",,,10081343.3
2008-12-01,,"24,105,493",,,10289602.65
2009-01-01,,"25,437,408",,,10858140.12
2009-02-01,,"22,960,169",,,9800712.881
2009-03-01,,"21,437,190",,,9150618.367
2009-04-01,,"20,621,434",,,8802407.065
2009-05-01,,"19,598,308",,,8365678.391
2009-06-01,,"19,637,692",,,8382489.734
2009-07-01,,"17,297,965",,,7383760.476
2009-08-01,,"15,973,174",,,6818263.932
2009-09-01,,"14,164,761",,,6046329.868
2009-10-01,,"13,973,052",,,5964497.505
2009-11-01,,"13,516,114",,,5769450.241
2009-12-01,,"14,071,671",,,6006593.733
2010-01-01,,"10,379,925",,,4430745.464
2010-02-01,,"11,429,679",,,4878840.491
2010-03-01,,"9,415,567",,,4019102.332
2010-04-01,,"14,763,203",,,6301779.129
2010-05-01,,"12,668,537",,,5407655.917
2010-06-01,,"14,683,862",,,6267911.854
2010-07-01,,"15,966,692",,,6815497.044
2010-08-01,,"14,981,898",,,6395130.659
2010-09-01,,"14,549,415",,,6210522.187
2010-10-01,,"14,048,154",,,5996555.333
2010-11-01,,"18,519,114",,,7905016.689
2010-12-01,,"18,759,594",,,8007667.302
2011-01-01,,"19,267,258",,,8224367.323
2011-02-01,,"22,136,600",,,9449166.544
2011-03-01,,"20,664,687",,,8820869.919
2011-04-01,,"25,530,914",,,10898053.83
2011-05-01,,"22,012,270",,,9396095.391
2011-06-01,,"20,312,156",,,8670389.532
2011-07-01,,"20,904,484",,,8923228.989
2011-08-01,,"17,958,298",,,7665628.355
2011-09-01,,"17,416,271",,,7434260.241
2011-10-01,,"18,708,034",,,7985658.546
2011-11-01,,"18,604,365",,,7941406.69
2011-12-01,,"20,540,087",,,8767683.515
2012-01-01,,"22,014,707",,,9397135.642
2012-02-01,,"21,488,676",,,9172595.536
2012-03-01,,"19,263,643",,,8222824.235
2012-04-01,,"18,968,411",,,8096802.337
2012-05-01,,"17,127,725",,,7311092.311
2012-06-01,,"15,912,625",,,6792418.157
2012-07-01,,"15,923,704",,,6797147.308
2012-08-01,,"14,893,564",,,6357424.657
2012-09-01,,"13,822,255",,,5900128.724
2012-10-01,,"15,764,661",,,6729258.662
2012-11-01,,"16,504,353",,,7045001.5
2012-12-01,,"12,839,714",,,5480724.048
2013-01-01,,"12,418,000",,,5300712.401
2013-02-01,,"16,279,256",,,6948917.23
2013-03-01,,"13,626,628",,,5816623.935
2013-04-01,,"13,637,626",,,5821318.51
2013-05-01,,"16,570,002",,,7073024.246
2013-06-01,,"13,468,862",,,5749280.386
2013-07-01,,"14,761,493",,,6301049.203
2013-08-01,,"13,173,818",,,5623338.738
2013-09-01,,"13,107,329",,,5594957.431
2013-10-01,,"15,846,513",,,6764197.776
2013-11-01,,"13,703,126",,,5849277.655
2013-12-01,,"13,628,797",,,5817549.788
2014-01-01,,"16,864,144",,,7198580.87
2014-02-01,,"14,191,850",,,6057893.002
2014-03-01,,"17,310,098",,,7388939.534
2014-04-01,,"16,577,343",,,7076157.805
2014-05-01,,"17,704,598",,,7557334.69
2014-06-01,,"17,869,352",,,7627661.117
2014-07-01,,"16,074,311",,,6861434.986
2014-08-01,,"15,210,794",,,6492836.559
2014-09-01,,"16,053,760",,,6852662.645
2014-10-01,,"16,877,697",,,7204366.065
2014-11-01,,"17,819,041",,,7606185.506
2014-12-01,,"16,140,949",,,6889879.895
2015-01-01,,"15,835,692",,,6759578.754
2015-02-01,,"15,356,985",,,6555239.236
2015-03-01,,"17,132,332",,,7313058.842
2015-04-01,,"15,926,881",,,6798503.433
2015-05-01,,"14,767,599",,,6303655.593
2015-06-01,,"17,546,985",,,7490056.45
2015-07-01,,"16,794,425",,,7168820.814
2015-08-01,,"14,558,551",,,6214421.955
2015-09-01,,"12,253,266",,,5230394.511
2015-10-01,,"14,179,155",,,6052474.05
2015-11-01,,"15,933,931",,,6801512.776
2015-12-01,,"12,058,398",,,5147213.707
2016-01-01,,"13,920,716",,,5942157.508
2016-02-01,,"14,124,293",,,6029055.811
2016-03-01,,"14,076,117",,,6008491.54
2016-04-01,,"16,866,352",,,7199523.37
2016-05-01,,"14,313,022",,,6109616.139
2016-06-01,,"18,695,111",,,7980142.271
2016-07-01,,"15,929,785",,,6799743.026
2016-08-01,,"13,317,540",,,5684687.505
2016-09-01,,"16,056,326",,,6853757.96
2016-10-01,,"13,835,999",,,5905995.449
2016-11-01,,"12,694,216",,,5418617.183
2016-12-01,,"12,813,465",,,5469519.474
2017-01-01,,"13,003,364",,,5550579.225
2017-02-01,,"14,004,385",,,5977872.221
2017-03-01,,"18,820,848",,,8033814.012
2017-04-01,,"15,260,322",,,6513977.941
2017-05-01,,"16,752,562",,,7150951.292
2017-06-01,,"14,915,328",,,6366714.777
2017-07-01,,"17,087,496",,,7293920.273
2017-08-01,,"16,341,642",,,6975547.142
2017-09-01,,"15,675,560",,,6691225.261
2017-10-01,,"15,563,942",,,6643580.317
2017-11-01,,"16,955,464",,,7237561.467
2017-12-01,,"16,686,378",,,7122700.177
2018-01-01,,"16,854,501",,,7194464.686
2018-02-01,,"14,748,386",,,6295454.386
2018-03-01,,"12,987,026",,,5543605.232
2018-04-01,,"15,537,770",,,6632408.611
2018-05-01,,"15,487,419",,,6610915.925
2018-06-01,,"13,399,525",,,5719683.39
2018-07-01,,"11,641,826",,,4969396.96
2018-08-01,,"11,543,636",,,4927483.854
2018-09-01,,"10,379,353",,,4430501.302
2018-10-01,,"9,945,944",,,4245497.56
2018-11-01,,"12,540,459",,,5352984.904
2018-12-01,,"10,004,119",,,4270329.976
2019-01-01,,"9,673,899",,,4129373.2
2019-02-01,,"10,856,063",,,4633988.386
2019-03-01,,"10,728,894",,,4579705.386
2019-04-01,,"12,357,308",,,5274805.586
2019-05-01,,"15,179,859",,,6479631.732
2019-06-01,,"16,480,869",,,7034977.186
2019-07-01,,"15,223,972",,,6498461.683
2019-08-01,,"13,905,476",,,5935652.205
2019-09-01,,"13,028,973",,,5561510.61
2019-10-01,,"14,162,816",,,6045499.63
2019-11-01,,"13,650,094",,,5826640.566
2019-12-01,,"14,678,623",,,6265675.549
2020-01-01,,"14,062,832",,,6002820.743
2020-02-01,,"14,370,318",,,6134073.348
2020-03-01,,"12,604,925",,,5380502.679
2020-04-01,,"13,441,308",,,5737518.764
2020-05-01,,"13,669,563",,,5834951.048
2020-06-01,,"14,275,544",,,6093618.386
2020-07-01,,"16,279,181",,,6948885.216
2020-08-01,,"12,105,725",,,5167415.577
2020-09-01,,"13,344,394",,,5696150.327
2020-10-01,,"11,396,217",,,4864556.996
2020-11-01,,"13,654,578",,,5828554.593
2020-12-01,,"12,844,803",,,5482896.324